City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,tazovsky,67.4667,78.7,4.88,69,29,4.24,RU,1718503329
110,virrat,62.2476,23.78,8.66,90,100,1.99,FI,1718503330
111,zemio,5.0314,25.1361,20.37,98,100,1.34,CF,1718503332
112,yarmouth,41.7057,-70.2286,16.68,82,0,0.45,US,1718503294
113,queenstown,-31.8976,26.8753,6.81,79,68,0.59,ZA,1718503334
114,lompoc,34.6391,-120.4579,20.08,66,0,9.26,US,1718503253
115,shangqiu,34.45,115.65,31.59,37,100,5.7,CN,1718503337
116,cafayate,-26.073,-65.9761,11.62,81,2,1.43,AR,1718503231
117,kamien pomorski,53.9685,14.7726,11.2,72,100,3.34,PL,1718503340
118,port elizabeth,-33.918,25.5701,11.29,98,7,1.54,ZA,1718503342
119,gornopravdinsk,60.05,69.9,21.66,81,28,2.06,RU,1718503343
120,lebu,-37.6167,-73.65,9.53,91,16,1.65,CL,1718503345
121,usogorsk,63.4106,48.6872,6.48,94,81,0.65,RU,1718503346
122,port blair,11.6667,92.75,29.02,84,40,2.57,IN,1718503348
123,kapuskasing,49.4169,-82.4331,19.0,55,20,4.63,CA,1718503262
124,carnarvon,-24.8667,113.6333,20.46,82,100,4.38,AU,1718503350
125,xichang,27.8964,102.2634,22.2,75,89,0.94,CN,1718503352
126,margate,51.3813,1.3862,12.39,86,25,2.68,GB,1718503353
127,puerto baquerizo moreno,-0.9,-89.6,21.54,84,54,6.43,EC,1718503355
128,ta`u,-14.2336,-169.5144,27.75,79,92,8.72,AS,1718503356
129,olyokminsk,60.3736,120.4264,7.42,94,100,4.48,RU,1718503357
130,mournies,35.4764,24.0092,34.04,79,20,0.0,GR,1718503359
131,sainte-anne-des-monts,49.124,-66.4924,12.93,71,50,5.14,CA,1718503330
132,tazacorte,28.629,-17.9293,21.54,90,75,5.66,ES,1718503362
133,san bernardo del viento,9.3533,-75.9524,26.61,82,100,3.63,CO,1718503363
134,columbia city,41.1573,-85.4883,22.95,50,100,4.69,US,1718503364
135,xiongzhou,25.1167,114.3,28.86,80,93,2.29,CN,1718503366
136,utrik,11.2278,169.8474,28.33,76,84,6.23,MH,1718503367
137,zhaobaoshan,29.9695,121.6875,27.01,76,100,2.74,CN,1718503369
138,ramos arizpe,25.55,-100.9667,29.64,40,0,3.09,MX,1718503370
139,college,64.8569,-147.8028,24.18,42,40,4.63,US,1718503371
140,lazaro cardenas,17.9583,-102.2,27.85,84,23,2.03,MX,1718503373
141,longyearbyen,78.2186,15.6401,4.91,65,40,7.2,SJ,1718503374
142,cheremukhovo,60.3484,59.9851,16.09,95,100,0.89,RU,1718503376
143,shamakhi,40.6314,48.6414,19.18,72,5,1.66,AZ,1718503377
144,roshal',55.6685,39.8749,15.23,91,100,1.9,RU,1718503236
145,progreso,21.2833,-89.6667,24.06,97,58,4.55,MX,1718503380
146,dakhla,23.6848,-15.958,18.8,88,0,9.56,EH,1718503381
147,moyobamba,-6.05,-76.9667,18.91,99,12,0.85,PE,1718503383
148,thunder bay,48.4001,-89.3168,15.99,67,100,4.12,CA,1718503158
149,prado,-17.3411,-39.2208,23.41,84,44,2.99,BR,1718503283
150,hasaki,35.7333,140.8333,25.16,81,100,1.79,JP,1718503385
151,riverton,40.5219,-111.9391,30.13,22,55,4.02,US,1718503343
152,ficarazzi,38.0897,13.4681,25.89,63,100,0.89,IT,1718503390
153,pangkalpinang,-2.1333,106.1333,29.45,72,95,2.51,ID,1718503316
154,baie-comeau,49.2168,-68.1489,13.82,44,0,2.06,CA,1718503392
155,porto novo,6.4965,2.6036,24.71,88,100,1.77,BJ,1718503394
156,dunedin,-45.8742,170.5036,8.8,82,76,3.56,NZ,1718503282
157,motueka,-41.1333,173.0167,10.61,78,31,0.4,NZ,1718503397
158,jalai nur,49.45,117.7,23.56,34,100,10.09,CN,1718503398
159,whitehorse,60.7161,-135.0538,17.95,45,75,6.69,CA,1718503274
160,enewetak,11.3474,162.3373,28.25,74,25,7.58,MH,1718503401
161,badger,64.8,-147.5333,24.14,41,0,4.63,US,1718503392
162,mendoza,-32.8908,-68.8272,10.74,62,0,1.54,AR,1718502871
163,buri ram,14.9943,103.1039,28.15,52,100,4.84,TH,1718503405
164,arkhangel'sk,64.5401,40.5433,14.06,100,40,2.0,RU,1718503407
165,pauini,-7.7136,-66.9764,27.27,66,100,0.83,BR,1718503408
166,majagual,8.5389,-74.6204,24.3,96,100,0.39,CO,1718503410
167,arraial do cabo,-22.9661,-42.0278,21.89,86,2,8.64,BR,1718503198
168,isangel,-19.55,169.2667,29.06,79,40,3.09,VU,1718503412
169,tabligbo,6.5833,1.5,23.08,96,62,1.53,TG,1718503414
170,tuapse,44.1125,39.0742,20.84,88,87,6.27,RU,1718503415
171,yemetsk,63.4721,41.7941,12.74,94,20,1.8,RU,1718503416
172,sidney,-33.8679,151.2073,16.29,52,20,6.17,AU,1718503418
173,afaahiti,-17.75,-149.2833,27.93,84,49,6.87,PF,1718503419
174,teruel,40.6667,-0.6667,12.08,78,3,1.26,ES,1718503265
175,sola,-13.8833,167.55,26.04,81,100,2.03,VU,1718503422
176,bubaque,11.2833,-15.8333,25.52,86,100,7.82,GW,1718503423
177,castillos,-34.1667,-53.8333,9.69,90,1,0.65,UY,1718503425
178,velingara,13.15,-14.1167,25.43,82,100,3.51,SN,1718503426
179,okhotsk,59.3833,143.3,9.71,80,97,2.66,RU,1718503428
180,cuyo,10.8525,121.0086,29.12,73,98,2.99,PH,1718503429
181,los llanos de aridane,28.6585,-17.9182,19.86,90,75,5.66,ES,1718503430
182,azua,18.4532,-70.7349,26.32,85,100,1.2,DO,1718503432
183,sullivan,36.5168,-82.5332,25.46,66,20,0.0,US,1718503433
184,mahina,-17.5065,-149.489,28.87,70,75,3.6,PF,1718503435
185,lagunas,-5.2269,-75.6753,23.3,97,15,0.97,PE,1718503436
186,tsiombe,-25.3,45.4833,18.73,73,95,0.36,MG,1718503385
187,port augusta,-32.5,137.7667,15.94,47,67,1.51,AU,1718503383
188,tiksi,71.6872,128.8694,6.41,70,89,4.19,RU,1718503382
189,iskateley,67.6803,53.1512,5.01,66,10,3.58,RU,1718503442
190,geraldton,-28.7667,114.6,17.23,88,100,4.12,AU,1718503385
191,coxim,-18.5067,-54.76,23.24,47,0,0.94,BR,1718503203
192,kailua-kona,19.6406,-155.9956,27.38,81,75,1.54,US,1718503446
193,zhytkavichy,52.2168,27.8561,12.07,98,9,1.97,BY,1718503447
